SEM_EXM_EXCH_ID,SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME
NSE,D,46980,OPTIDX,0,FINNIFTY-Oct2024-16600-PE,25.0,FINNIFTY 08 OCT 16600 PUT,2024-10-08 14:30:00,16600.0,PE,5.0,W,OP,,
NSE,D,46981,OPTIDX,0,FINNIFTY-Oct2024-16700-CE,25.0,FINNIFTY 08 OCT 16700 CALL,2024-10-08 14:30:00,16700.0,CE,5.0,W,OP,,
NSE,D,46982,OPTIDX,0,FINNIFTY-Oct2024-16700-PE,25.0,FINNIFTY 08 OCT 16700 PUT,2024-10-08 14:30:00,16700.0,PE,5.0,W,OP,,
NSE,D,46983,OPTIDX,0,FINNIFTY-Oct2024-16800-CE,25.0,FINNIFTY 08 OCT 16800 CALL,2024-10-08 14:30:00,16800.0,CE,5.0,W,OP,,
NSE,D,46990,OPTIDX,0,FINNIFTY-Oct2024-16800-PE,25.0,FINNIFTY 08 OCT 16800 PUT,2024-10-08 14:30:00,16800.0,PE,5.0,W,OP,,
NSE,D,46993,OPTIDX,0,FINNIFTY-Oct2024-16900-CE,25.0,FINNIFTY 08 OCT 16900 CALL,2024-10-08 14:30:00,16900.0,CE,5.0,W,OP,,
NSE,D,47000,OPTIDX,0,FINNIFTY-Oct2024-16900-PE,25.0,FINNIFTY 08 OCT 16900 PUT,2024-10-08 14:30:00,16900.0,PE,5.0,W,OP,,
NSE,D,47001,OPTIDX,0,FINNIFTY-Oct2024-17000-CE,25.0,FINNIFTY 08 OCT 17000 CALL,2024-10-08 14:30:00,17000.0,CE,5.0,W,OP,,
NSE,D,47002,OPTIDX,0,FINNIFTY-Oct2024-17000-PE,25.0,FINNIFTY 08 OCT 17000 PUT,2024-10-08 14:30:00,17000.0,PE,5.0,W,OP,,
NSE,D,47003,OPTIDX,0,FINNIFTY-Oct2024-17100-CE,25.0,FINNIFTY 08 OCT 17100 CALL,2024-10-08 14:30:00,17100.0,CE,5.0,W,OP,,
