SEM_EXM_EXCH_ID,SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME
BSE,D,1123828,OPTIDX,0,SENSEX-Oct2024-82200-PE,10.0,SENSEX 11 OCT 82200 PUT,2024-10-11 15:30:00,82200.0,PE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1123833,OPTIDX,0,SENSEX-Oct2024-79400-PE,10.0,SENSEX 11 OCT 79400 PUT,2024-10-11 15:30:00,79400.0,PE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1123836,OPTIDX,0,SENSEX-Oct2024-82500-CE,10.0,SENSEX 11 OCT 82500 CALL,2024-10-11 15:30:00,82500.0,CE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1123838,OPTIDX,0,SENSEX-Oct2024-84200-CE,10.0,SENSEX 11 OCT 84200 CALL,2024-10-11 15:30:00,84200.0,CE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1123842,OPTIDX,0,SENSEX-Oct2024-78900-PE,10.0,SENSEX 11 OCT 78900 PUT,2024-10-11 15:30:00,78900.0,PE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1123843,OPTIDX,0,SENSEX-Oct2024-77400-PE,10.0,SENSEX 11 OCT 77400 PUT,2024-10-11 15:30:00,77400.0,PE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1123846,OPTIDX,0,SENSEX-Oct2024-80500-CE,10.0,SENSEX 11 OCT 80500 CALL,2024-10-11 15:30:00,80500.0,CE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1123848,OPTIDX,0,SENSEX-Oct2024-77700-CE,10.0,SENSEX 11 OCT 77700 CALL,2024-10-11 15:30:00,77700.0,CE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1123849,OPTIDX,0,SENSEX-Oct2024-79400-CE,10.0,SENSEX 11 OCT 79400 CALL,2024-10-11 15:30:00,79400.0,CE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1123850,OPTIDX,0,SENSEX-Oct2024-84500-PE,10.0,SENSEX 11 OCT 84500 PUT,2024-10-11 15:30:00,84500.0,PE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1123851,OPTIDX,0,SENSEX-Oct2024-83000-PE,10.0,SENSEX 11 OCT 83000 PUT,2024-10-11 15:30:00,83000.0,PE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1123857,OPTIDX,0,SENSEX-Oct2024-80800-PE,10.0,SENSEX 11 OCT 80800 PUT,2024-10-11 15:30:00,80800.0,PE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1123859,OPTIDX,0,SENSEX-Oct2024-84800-CE,10.0,SENSEX 11 OCT 84800 CALL,2024-10-11 15:30:00,84800.0,CE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1123862,OPTIDX,0,SENSEX-Oct2024-83300-CE,10.0,SENSEX 11 OCT 83300 CALL,2024-10-11 15:30:00,83300.0,CE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1123863,OPTIDX,0,SENSEX-Oct2024-85000-CE,10.0,SENSEX 11 OCT 85000 CALL,2024-10-11 15:30:00,85000.0,CE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1123866,OPTIDX,0,SENSEX-Oct2024-79700-PE,10.0,SENSEX 11 OCT 79700 PUT,2024-10-11 15:30:00,79700.0,PE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1123869,OPTIDX,0,SENSEX-Oct2024-78200-PE,10.0,SENSEX 11 OCT 78200 PUT,2024-10-11 15:30:00,78200.0,PE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1123870,OPTIDX,0,SENSEX-Oct2024-82800-CE,10.0,SENSEX 11 OCT 82800 CALL,2024-10-11 15:30:00,82800.0,CE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1123871,OPTIDX,0,SENSEX-Oct2024-81300-CE,10.0,SENSEX 11 OCT 81300 CALL,2024-10-11 15:30:00,81300.0,CE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1123879,OPTIDX,0,SENSEX-Oct2024-78500-CE,10.0,SENSEX 11 OCT 78500 CALL,2024-10-11 15:30:00,78500.0,CE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1123882,OPTIDX,0,SENSEX-Oct2024-83600-PE,10.0,SENSEX 11 OCT 83600 PUT,2024-10-11 15:30:00,83600.0,PE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1123885,OPTIDX,0,SENSEX-Oct2024-81600-PE,10.0,SENSEX 11 OCT 81600 PUT,2024-10-11 15:30:00,81600.0,PE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1123886,OPTIDX,0,SENSEX-Oct2024-80100-PE,10.0,SENSEX 11 OCT 80100 PUT,2024-10-11 15:30:00,80100.0,PE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1123887,OPTIDX,0,SENSEX-Oct2024-84100-CE,10.0,SENSEX 11 OCT 84100 CALL,2024-10-11 15:30:00,84100.0,CE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1123889,OPTIDX,0,SENSEX-Oct2024-78800-PE,10.0,SENSEX 11 OCT 78800 PUT,2024-10-11 15:30:00,78800.0,PE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1123890,OPTIDX,0,SENSEX-Oct2024-77300-PE,10.0,SENSEX 11 OCT 77300 PUT,2024-10-11 15:30:00,77300.0,PE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1123891,OPTIDX,0,SENSEX-Oct2024-81900-CE,10.0,SENSEX 11 OCT 81900 CALL,2024-10-11 15:30:00,81900.0,CE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1123892,OPTIDX,0,SENSEX-Oct2024-80400-CE,10.0,SENSEX 11 OCT 80400 CALL,2024-10-11 15:30:00,80400.0,CE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1123893,OPTIDX,0,SENSEX-Oct2024-79000-PE,10.0,SENSEX 11 OCT 79000 PUT,2024-10-11 15:30:00,79000.0,PE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1123895,OPTIDX,0,SENSEX-Oct2024-83600-CE,10.0,SENSEX 11 OCT 83600 CALL,2024-10-11 15:30:00,83600.0,CE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1123897,OPTIDX,0,SENSEX-Oct2024-82100-CE,10.0,SENSEX 11 OCT 82100 CALL,2024-10-11 15:30:00,82100.0,CE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1123903,OPTIDX,0,SENSEX-Oct2024-79300-CE,10.0,SENSEX 11 OCT 79300 CALL,2024-10-11 15:30:00,79300.0,CE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1123905,OPTIDX,0,SENSEX-Oct2024-84400-PE,10.0,SENSEX 11 OCT 84400 PUT,2024-10-11 15:30:00,84400.0,PE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1123917,OPTIDX,0,SENSEX-Oct2024-80700-PE,10.0,SENSEX 11 OCT 80700 PUT,2024-10-11 15:30:00,80700.0,PE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1123918,OPTIDX,0,SENSEX-Oct2024-83900-PE,10.0,SENSEX 11 OCT 83900 PUT,2024-10-11 15:30:00,83900.0,PE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1123919,OPTIDX,0,SENSEX-Oct2024-77300-CE,10.0,SENSEX 11 OCT 77300 CALL,2024-10-11 15:30:00,77300.0,CE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1123920,OPTIDX,0,SENSEX-Oct2024-82400-PE,10.0,SENSEX 11 OCT 82400 PUT,2024-10-11 15:30:00,82400.0,PE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1123927,OPTIDX,0,SENSEX-Oct2024-79600-PE,10.0,SENSEX 11 OCT 79600 PUT,2024-10-11 15:30:00,79600.0,PE,5.0,W,OPTIDX,,BSXOPT
